# Event 'cycles'
#
# Baseline  Delta Abs  Shared Object             Symbol                                         
# ........  .........  ........................  ...............................................
#
     0.01%     -0.01%  [kernel.kallsyms]         [k] led_set_brightness
     0.13%     +0.01%  [kernel.kallsyms]         [k] jbd2__journal_start
     0.01%     -0.01%  [kernel.kallsyms]         [k] ext4_append
     0.00%     +0.01%  [kernel.kallsyms]         [k] arm_heavy_mb
     0.04%     +0.01%  [kernel.kallsyms]         [k] anon_pipe_buf_release
     0.01%     -0.01%  [kernel.kallsyms]         [k] do_fcntl
     0.01%     +0.00%  [kernel.kallsyms]         [k] __ret_fast_syscall
     0.01%     -0.00%  [kernel.kallsyms]         [k] free_swap_cache
     0.04%     -0.00%  [kernel.kallsyms]         [k] ext4_bread_batch
     0.01%     +0.00%  [kernel.kallsyms]         [k] folio_mapped
     0.01%     +0.00%  [kernel.kallsyms]         [k] do_utimes
     0.03%     +0.00%  [kernel.kallsyms]         [k] rcu_core
     0.02%     -0.00%  [kernel.kallsyms]         [k] str2hashbuf_unsigned
     0.05%     -0.00%  [kernel.kallsyms]         [k] inode_to_bdi
     0.00%     +0.00%  [kernel.kallsyms]         [k] shmem_getpage_gfp.constprop.0
     0.01%     -0.00%  [kernel.kallsyms]         [k] bvec_alloc
     0.01%     -0.00%  [kernel.kallsyms]         [k] filename_lookup
     0.01%     +0.00%  [kernel.kallsyms]         [k] __jbd2_journal_temp_unlink_buffer
     0.00%     +0.00%  [kernel.kallsyms]         [k] posix_acl_chmod
     0.00%     +0.00%  [kernel.kallsyms]         [k] do_select
     0.01%     -0.00%  [kernel.kallsyms]         [k] unlock_new_inode
     0.01%     -0.00%  [kernel.kallsyms]         [k] do_filp_open
     0.01%     +0.00%  [kernel.kallsyms]         [k] mmc_mrq_prep
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_init_new_dir
     0.03%     +0.00%  [kernel.kallsyms]         [k] insert_inode_locked
     0.06%     -0.00%  [kernel.kallsyms]         [k] timestamp_truncate
               +0.00%  [kernel.kallsyms]         [k] alloc_pid
     0.01%     -0.00%  [kernel.kallsyms]         [k] __read_end_io
     0.06%     +0.00%  [kernel.kallsyms]         [k] mpage_process_page_bufs
     0.00%     +0.00%  [kernel.kallsyms]         [k] blk_account_io_merge_bio
     0.01%     +0.00%  [kernel.kallsyms]         [k] __page_cache_release
     0.00%     +0.00%  [kernel.kallsyms]         [k] note_gp_changes
     0.02%     -0.00%  [kernel.kallsyms]         [k] mmc_blk_mq_issue_rq
     0.02%     -0.00%  [kernel.kallsyms]         [k] get_old_timespec32
     0.00%     +0.00%  [kernel.kallsyms]         [k] __wait_on_bit
     0.01%     -0.00%  [kernel.kallsyms]         [k] __folio_alloc
     0.02%     -0.00%  [kernel.kallsyms]         [k] bcm2835_dma_prep_slave_sg
     0.02%     -0.00%  [kernel.kallsyms]         [k] mnt_drop_write
     0.02%     -0.00%  [kernel.kallsyms]         [k] do_sys_open
     0.03%     +0.00%  [kernel.kallsyms]         [k] default_idle_call
     0.02%     -0.00%  [kernel.kallsyms]         [k] ext4_lookup
     0.00%     +0.00%  [kernel.kallsyms]         [k] add_mm_counter_fast
     0.02%     +0.00%  [kernel.kallsyms]         [k] alloc_buffer_head
     0.01%     -0.00%  [kernel.kallsyms]         [k] mb_set_bits
     0.00%     +0.00%  [kernel.kallsyms]         [k] __list_lru_walk_one.constprop.0
     0.05%     -0.00%  [kernel.kallsyms]         [k] generic_write_end
               +0.00%  [kernel.kallsyms]         [k] ext4_xattr_inode_array_free
     0.00%     +0.00%  [kernel.kallsyms]         [k] cpumask_next_wrap
     0.01%     -0.00%  [kernel.kallsyms]         [k] __srcu_read_lock
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_group_desc_csum_set
     0.01%     +0.00%  [kernel.kallsyms]         [k] blk_mq_get_tag
     0.01%     -0.00%  [kernel.kallsyms]         [k] tasklet_clear_sched
     0.01%     +0.00%  [kernel.kallsyms]         [k] ext4_put_io_end_defer
     0.01%     -0.00%  [kernel.kallsyms]         [k] blk_add_rq_to_plug
     0.03%     +0.00%  [kernel.kallsyms]         [k] __lock_text_start
     0.02%     +0.00%  [kernel.kallsyms]         [k] folio_mkclean
     0.01%     +0.00%  [kernel.kallsyms]         [k] file_update_time
